question,option1,option2,option3,option4,answer
 Which one of the following is the unit of ectric field ?,Coulomb,Newton,Volt,N/C,4
If an electric dipole is kept in a uniform electric field then resultant electric force on it is :,always zero,never zero,depend upon capacity of dipole,None,13
The number of electron taken out from a body to produce 1 coulomb of charge will be:,6.25 x 1018,6.25 x 10^8,6.023 x 1023,None,1
"<ol>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">If the radius of the sphere is increased by 100%, the volume of the corresponding sphere is increased by </span></span></span></li>
</ol>
","<p>a)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">200%</span></span></span></p>
","<p>b)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">500%</span></span></span></p>
","<p>c) 7<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">00%</span></span></span></p>
","<p>d)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">800%</span></span></span></p>
",1
"<ol>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">A sphere is melted and half of the melted liquid is used to form 11 identical cubes, whereas the remaining</span></span></span></li>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">half is used to form7 identical smaller spheres. The ratio of the side of the cube to the radius &nbsp;of the new</span></span></span></li>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">small sphere is</span></span></span></li>
</ol>
","<p>a)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;"">&nbsp;<img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAnCAIAAADyyp3vAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAiZJREFUWEfllz12wjAMx52eBRh4nMCcgMfSKUcwI1O3jt26hLFj105MyQnKCfIYCHdJLcdJ/CE7cZyWoZ76sKSf9I9sq0ld1+QR62lOaHFIkkMxLuJcYGAmbyUdR+VWc4F3H/ybfaY4937aWkLMBfZVWrx/pS87w+IPwMW5TPcLM7PfBxdn8nq0uITwTzPLyllfE82qNmaVUZZjAARcZax3NHxyhodx5e7k1iaYJ67ki8QbNFB9lBoURQRAA8OmWRHP2UjF/sVVb876Irq/ZeYKGMcyxqipwUi0yu1ya8XvwFgw4ck3bPGxJI267c8r1W6itWDgGirLRmrAeaY33GDRzraSOUuwXQFEVleg3DygVkevmyyxAfvyR6XmPpCr/wDo2vdtLTISYFGd44A29hhhxHf2XE3iyqyuF0LXS/SiF89O/Y1dety+vN1HP4S6IYDvt5KQzQq5T71Bl2tKLtcqAjzRdbHaTPQEN6jYp/RQ6MlaO59FPsnYayiNgH0nGG3IgMBDpgCO6ZLwnpQZRUwg4jBMXgAW7RneJTE9KcfbSVpPPP2tRELqxT6ldsliRm/W9mRfUFAwezan1vHSN93rfI1hE5124m5q/T12vDXoyxrLVWYurC5tZlBPdtDIh18J/a/IENJsWtU5LT3PoLmlTZlaQGtmaF3nwBrjreyydiQwZoauC8NmeocK2L8w5mCnuHq2AmQG0wTGn0esiLs6Lt3/B/4BD7NROCZNtMUAAAAASUVORK5CYII="" /></span></span></span></span></p>
","<p>b)&nbsp;&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAnCAIAAADyyp3vAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAjJJREFUWEfllzF2gzAMhk3PAhnyOAE5QV6WTjkCGZOlW8ZuXciYsWumLIUb5AS8DCF3obaxQbZlMJi2Qz3xYlufflmWlaCua/IX42VOaLELgl3hZnEuMGMG72XiRqWr5gKvz/TMPrc493laGYGYC9yntPi4bN/W2opfABfXcrsJdc9+HlxcyXFvcAmhRzPLyNNOU5JV0maVJWmOARBwlaXdRm1PnuJmbL5bubUOpo4DfxF7gwvgHqABRIQDFDCbBIqouzJ80Bn2c79zkp2n3br2W3gOwAhWeKHN1I5oyG3jIIPfgg1j7AcBpp+aRN0V5EzM4xXRbkxJMMB0RtpYmxk1KNqaVsJnAUYUqIrh2XPPBsjUoOJtFzRhtykgz0dJkmXkXOHpwnARk9vl62nZQ2v3GVbJcH+MDxF9SILoEOdsSnpvSKprcAOw2+twzj2liSuu7jdMMH9xmqF4D0SWD5vkoegxMAs0iRdIPe3dHS0TcrtXQwTLvMcjwU55+mBgS6SdjE6OtVUxS0BjOPnitsgKRhPSzabTKgb2yZLxOSnc8kgufhkmDwbm6Tk+S3xyUrS3k2I98fbLEPFQh5ttYkrmPXozViezQDHB6avetbqHvsle7K3RewY1z/0qtfoeW/oZ9GX15YKeC+vilJ4BKh7V8uElQe030ObVUIe2Kz1P4GBfrRg0ega5fQ6s1t6KLJOyu0agC8Q8VNDsKQeY2f9J2KdGhjpg8L8YHrXaz93/B/4GiyH3tMHHkoYAAAAASUVORK5CYII="" /></span></span></span></span></p>
","<p>c)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAaCAIAAABKLomcAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAZ1JREFUSEvtVTt2gzAQlHKW0Pj5BPgEJE0qjoDL0KRL6c4NlE6XlsqN0Q04AS+F4S5Eu/z0RcoLjpuoArRvZ3d2dqBd15F7nIc1Qdme0j3zy7gWMGDSQx36ofKotYCjE5/ZZ2zGbfOdRsRawEudsmMRv0VKxB8As3MdPz+qlcnAnBOXPGCYu7z1niVhZ/L+quESwkfTnyYLSZg10/vCgym0TOZahDQ8NClNqUZgyKVGiLnUS7gzZ5RQrLhdD6y3AF/mzFiCjONFUJMlI4dCF0gIAjuTyGV4j6ZMZtKnZ14BfEVgB2+WayfbIq4oJaQOVN1eaxJuAl2oaEeUPn0Yr4NNSOqrVd9tflDkjOmClCDU4h6jHSEjVRoYd6j6aiyL1V6K7YvsGn26cpsG3Me8DCQ6cVqr4qJ3ZyQKSmHHVMLlDjFUDkTB8ZjxoAJ1yZ0zltd3ljXO2KZqSegoahXXuQrLVmTb437HpqNb2i9xBwNxbpRW/Q951rtfzat9PF6MmYFHC3NYMLTq+S9ZrIWCwO5xvPb4FoX9A9+CVWPOb/PeuLP6LsSWAAAAAElFTkSuQmCC"" /></span></span></span></span></p>
","<p>d) 2</p>
",2
"<ol>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">The base radii of a cone and a cylinder are equal. If their curved surface areas are also&nbsp;</span></span></span></li>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">equal, then the ratio of the slant height of the cone to the height of the cylinder is</span></span></span></li>
</ol>
","<p>a)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">2 : 1</span></span></span></p>
","<p>b)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">1 : 2</span></span></span></p>
","<p>c)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">1 : 3</span></span></span></p>
","<p>d)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">3 : 1</span></span></span></p>
",1
"<ol>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">A slab of ice 8 inches in length, 11 inches in breadth, and 2 inches thick was melted and resolidified in the </span></span></span></li>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">form of a rod of 8 inches diameter. The length of such a rod, in inches, is nearest to</span></span></span></li>
</ol>
","<p>a) 3</p>
","<p>b) 3.5</p>
","<p>c) 4</p>
","<p>d) 4.5</p>
",3
"<ol>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">If the perimeter of one face of a cube is 20 cm, then its surface area is</span></span></span></li>
</ol>
","<p>a)&nbsp;&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">120 </span><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAWCAIAAABc9GulAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAQpJREFUSEvtVLsRwjAMVTJLSMFlAmcCjoaKEZx1kpYpqJINMgFHgbOLkb+xcKCIU8Ad6iRLT/J7ljMpJWxteSrg0GTG6m7yWDjpehMtY61Q9T0H4L1FgvWIpBLhPabcBpRAokjpk84cOKxU0JDVmFM89eLhqXVVnjvRkhDHe6byBVRpZ2OqNedaVIyytuUezMWp1Av8qesrSPsywgwzlG2v27ok3U2/pGVDUPLE5iyF6UuJ86ZgLs1hetyA7XfRZon7CFVZmDg67Hw0znC9AD8dPqxiDkVZwXgXJmfqartupFQ5roEbYmjCxaQtcOhA+OX7kstrukKtY16zr/yllqhN/vr+oBEDv8PpEyYS2Gx7pQW4AAAAAElFTkSuQmCC"" /></span></span></span></span></p>
","<p>b)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">150 </span><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAWCAIAAABc9GulAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAQpJREFUSEvtVLsRwjAMVTJLSMFlAmcCjoaKEZx1kpYpqJINMgFHgbOLkb+xcKCIU8Ad6iRLT/J7ljMpJWxteSrg0GTG6m7yWDjpehMtY61Q9T0H4L1FgvWIpBLhPabcBpRAokjpk84cOKxU0JDVmFM89eLhqXVVnjvRkhDHe6byBVRpZ2OqNedaVIyytuUezMWp1Av8qesrSPsywgwzlG2v27ok3U2/pGVDUPLE5iyF6UuJ86ZgLs1hetyA7XfRZon7CFVZmDg67Hw0znC9AD8dPqxiDkVZwXgXJmfqartupFQ5roEbYmjCxaQtcOhA+OX7kstrukKtY16zr/yllqhN/vr+oBEDv8PpEyYS2Gx7pQW4AAAAAElFTkSuQmCC"" /></span></span></span></span></p>
","<p>c)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">125 </span><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAWCAIAAABc9GulAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAQpJREFUSEvtVLsRwjAMVTJLSMFlAmcCjoaKEZx1kpYpqJINMgFHgbOLkb+xcKCIU8Ad6iRLT/J7ljMpJWxteSrg0GTG6m7yWDjpehMtY61Q9T0H4L1FgvWIpBLhPabcBpRAokjpk84cOKxU0JDVmFM89eLhqXVVnjvRkhDHe6byBVRpZ2OqNedaVIyytuUezMWp1Av8qesrSPsywgwzlG2v27ok3U2/pGVDUPLE5iyF6UuJ86ZgLs1hetyA7XfRZon7CFVZmDg67Hw0znC9AD8dPqxiDkVZwXgXJmfqartupFQ5roEbYmjCxaQtcOhA+OX7kstrukKtY16zr/yllqhN/vr+oBEDv8PpEyYS2Gx7pQW4AAAAAElFTkSuQmCC"" /></span></span></span></span></p>
","<p>d)&nbsp;&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">400</span><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAWCAIAAABc9GulAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAQpJREFUSEvtVLsRwjAMVTJLSMFlAmcCjoaKEZx1kpYpqJINMgFHgbOLkb+xcKCIU8Ad6iRLT/J7ljMpJWxteSrg0GTG6m7yWDjpehMtY61Q9T0H4L1FgvWIpBLhPabcBpRAokjpk84cOKxU0JDVmFM89eLhqXVVnjvRkhDHe6byBVRpZ2OqNedaVIyytuUezMWp1Av8qesrSPsywgwzlG2v27ok3U2/pGVDUPLE5iyF6UuJ86ZgLs1hetyA7XfRZon7CFVZmDg67Hw0znC9AD8dPqxiDkVZwXgXJmfqartupFQ5roEbYmjCxaQtcOhA+OX7kstrukKtY16zr/yllqhN/vr+oBEDv8PpEyYS2Gx7pQW4AAAAAElFTkSuQmCC"" /></span></span></span></span></p>
",2
"<ol>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">Ratio of lateral surface areas of two cylinders with equal height is</span></span></span></li>
</ol>
","<p>a)&nbsp;&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">1: 2</span></span></span></p>
","<p>b)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACMAAAAWCAIAAADFDLIQAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAQJJREFUSEvtVLERgzAMtDNLaHKZwGyQNKkyAmmzRxpoGSEVTWADJuAowLsQZFnGEArAF+7IRRWnk/TW/wveNA1bJXaroADItpGyG4fwI9kjrNWpjToUmBVhrRJpoKsogXVTo20fNjLqVVhB2o36SExF0Q+3Z0GrQYIlvglkkGYCIdvDZ9PWmjtSAMu092RVMBaflJIqvHvOxMFbdANZErNj+eDJBQ1QVMoaxhA9BaFgmRfIXXpfGISfiDTGnRMQ8doBIdJMkcxVjOpkD7OpAZ2AV1sT+Xq6iWSG1WUurue9jPxbxszNkpPcbrYvsB6uhOCg1Sqx7T/sOEX/nVys84vsvQFebdh7CBf0rgAAAABJRU5ErkJggg=="" /></span></span></span></span></p>
","<p>c)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACAAAAAWCAIAAAAuOwkTAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAQtJREFUSEvtVDESgjAQPHwLWDC+ILxAaaho7aD0Az4CWjpaKxrhB7yAoRD+grnEBDIy4EQoZLwGMkd2s7tHjK7rYM3arQmO2JshaGPHUCssFjKPhsyqiQhAkA8WJGpE84unzKCpSwi8Iz+26foEyrpZQIQgKLIEiG0JRKQbLAdE3MwxA182s1YRouFO3Iopah8VEN81GRL98pRAcL3w5UdF95wh7fIAqix0jMzD18OeIvQB9EDa7rMg1d3cIuYIz5QSa1d7v5UkSlXlAlTyIsOEBHZIOW7qeOFWMYiigwpYwCIAsGzdAUIcOYjSBn4iLOUnmFQx/lsg0rt043+bzo3cZq7rOaH6/d+36An9tYRdkYNtfwAAAABJRU5ErkJggg=="" /></span></span></span></span></p>
","<p>d)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">None of these</span></span></span></p>
",3
"<ol>
	<li><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">Ratio of volumes of two cylinders with equal height is</span></span></span></li>
</ol>
","<p>a)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;"">&nbsp;<img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACMAAAAWCAIAAADFDLIQAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAQJJREFUSEvtVLERgzAMtDNLaHKZwGyQNKkyAmmzRxpoGSEVTWADJuAowLsQZFnGEArAF+7IRRWnk/TW/wveNA1bJXaroADItpGyG4fwI9kjrNWpjToUmBVhrRJpoKsogXVTo20fNjLqVVhB2o36SExF0Q+3Z0GrQYIlvglkkGYCIdvDZ9PWmjtSAMu092RVMBaflJIqvHvOxMFbdANZErNj+eDJBQ1QVMoaxhA9BaFgmRfIXXpfGISfiDTGnRMQ8doBIdJMkcxVjOpkD7OpAZ2AV1sT+Xq6iWSG1WUurue9jPxbxszNkpPcbrYvsB6uhOCg1Sqx7T/sOEX/nVys84vsvQFebdh7CBf0rgAAAABJRU5ErkJggg=="" /></span></span></span></span></p>
","<p>b)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;"">&nbsp;<img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACAAAAAWCAIAAAAuOwkTAAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAAQtJREFUSEvtVDESgjAQPHwLWDC+ILxAaaho7aD0Az4CWjpaKxrhB7yAoRD+grnEBDIy4EQoZLwGMkd2s7tHjK7rYM3arQmO2JshaGPHUCssFjKPhsyqiQhAkA8WJGpE84unzKCpSwi8Iz+26foEyrpZQIQgKLIEiG0JRKQbLAdE3MwxA182s1YRouFO3Iopah8VEN81GRL98pRAcL3w5UdF95wh7fIAqix0jMzD18OeIvQB9EDa7rMg1d3cIuYIz5QSa1d7v5UkSlXlAlTyIsOEBHZIOW7qeOFWMYiigwpYwCIAsGzdAUIcOYjSBn4iLOUnmFQx/lsg0rt043+bzo3cZq7rOaH6/d+36An9tYRdkYNtfwAAAABJRU5ErkJggg=="" /></span></span></span></span></p>
","<p>c)&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,&quot;sans-serif&quot;""><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADMAAAAWCAIAAADiojP4AAAAAXNSR0IArs4c6QAAAAlwSFlzAAAOxAAADsQBlSsOGwAAATtJREFUSEvtVjsSgjAUDJ5FG48QT+DYWHmEWHoVbO1srWyEG3AEmngXTMiHhI/ZzICjDqn4bPZt9i1vSKqqIl+5FpCq/JiotTk/oQ2RoF5+4Vlg8ZTSlEtQxghhWQgf+36An8TwCI7xhTkCPH6tTDxrNaAr4aO6RPqN5FqbkVPf6BYqQGN5jMk4tstvlfkZ8nQ6sjI2RTvdpFl+o0wKc0xyb/1O9ypTkJBoTVTDZAFdcYDfyZkVhtVxOwXs0L4IRZQxKk8hLt+dRSlrfQBewvCsAMhugAc3qUnLy8L0Utk80Xo+bgVNr6clwm8mqPWplTjACON5KGdxo1p6lt8vhB52+iCrNSVFyZFTxWJkIbbfgtuaiHnDrDXOIOdCIFkKj3Dy4/8aoP+jwrC/oFFLgmSzMtAoBzZ79k+evQDGO0pIwYoLbQAAAABJRU5ErkJggg=="" /></span></span></span></span></p>
","<p>d)&nbsp;&nbsp;<span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif""><span style=""font-size:12.0pt"">None of these</span></span></span></p>
",3
